mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_kernel_size,param_n_conv_layers,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
246.5208698908488,1.8126540649321103,0.14157414436340332,0.001562610876324399,linear,2,1,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 1}",0.9166666666666666,0.92,0.9266666666666666,0.9211111111111111,0.004157397096415488,1
314.5023664633433,2.089613956670172,0.15936493873596191,0.004605097113812147,linear,2,2,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 2}",0.9166666666666666,0.9183333333333333,0.9033333333333333,0.9127777777777778,0.00671280331866365,3
323.9768074353536,0.8176997506300872,0.1916054884592692,0.010039972071142156,linear,2,3,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 3}",0.8866666666666667,0.895,0.8883333333333333,0.89,0.0036004114991154755,5
276.89160855611163,5.215567071119144,0.15336124102274576,0.010737242612962298,linear,3,1,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 1}",0.9383333333333334,0.9066666666666666,0.905,0.9166666666666666,0.01533574860204697,2
371.939909696579,2.5546436920654334,0.16381573677062988,0.0030286774904175096,linear,3,2,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 2}",0.9116666666666666,0.9016666666666666,0.8966666666666666,0.9033333333333333,0.006236095644623242,4
401.0969304243724,3.3832755876145546,0.17170039812723795,0.00402948799511743,linear,3,3,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 3}",0.915,0.9016666666666666,0.5316666666666666,0.7827777777777777,0.17764578433320063,6
