mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_kernel_size,param_n_conv_layers,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
126.89509121576945,0.8419114230020412,0.10955460866292317,0.0017755072013965246,linear,2,1,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 1}",0.782608695652174,0.7993311036789298,0.8087248322147651,0.7968882105152897,0.010800893249964638,2
164.23540798823038,0.6821959352508635,0.12262384096781413,0.0024327594737814148,linear,2,2,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 2}",0.7725752508361204,0.782608695652174,0.785234899328859,0.7801396152723844,0.005455208118933724,6
179.5531281630198,0.5112405721531249,0.15429170926411948,0.002963512576844413,linear,2,3,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 3}",0.7892976588628763,0.7692307692307693,0.7986577181208053,0.7857287154048169,0.01227570359963987,5
141.24774146080017,2.783991741335562,0.11362091700236003,0.011758067869600843,linear,3,1,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 1}",0.7892976588628763,0.7759197324414716,0.825503355704698,0.7969069156696819,0.020945317946840063,1
193.84722916285196,2.8949743005807487,0.1216431458791097,0.0008076632523728402,linear,3,2,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 2}",0.802675585284281,0.7725752508361204,0.8087248322147651,0.7946585561117221,0.015809335343989157,3
219.35357069969177,0.8352799618501275,0.12388968467712402,0.005144972265494254,linear,3,3,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 3}",0.8127090301003345,0.7759197324414716,0.7818791946308725,0.7901693190575596,0.01612260789110677,4
