mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_kernel_size,param_n_conv_layers,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
48.45659931500753,0.4465918945028083,0.08777546882629395,0.003302923126796558,linear,2,1,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 1}",0.5925925925925926,0.6728971962616822,0.4485981308411215,0.5713626398984655,0.09279206451588556,6
62.87242468198141,0.07260702602677774,0.09904066721598308,0.0007172790185215534,linear,2,2,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 2}",0.6481481481481481,0.616822429906542,0.514018691588785,0.5929964232144918,0.05729128337071147,5
69.55736184120178,0.06729909741317655,0.10744810104370117,0.0055458361582576676,linear,2,3,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 3}",0.5925925925925926,0.6915887850467289,0.7570093457943925,0.6803969078112381,0.06758777389634965,1
53.34728248914083,0.8962948251527978,0.08199771245320638,0.0017309698111086422,linear,3,1,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 1}",0.6203703703703703,0.6635514018691588,0.5420560747663551,0.6086592823352946,0.050286782983061516,4
73.47066593170166,0.9966162917471392,0.09445071220397949,0.004778025443119451,linear,3,2,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 2}",0.6203703703703703,0.6355140186915887,0.5794392523364486,0.6117745471328025,0.023685593206202,3
83.32039507230122,0.4214183541991663,0.09639382362365723,0.0010065014947524408,linear,3,3,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 3}",0.5833333333333334,0.616822429906542,0.6822429906542056,0.627466251298027,0.04107512043555861,2
