mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_kernel_size,param_n_conv_layers,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
29.04989457130432,0.2676974682060466,0.15799641609191895,0.10616918364348371,linear,2,1,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 1}",0.7407407407407407,0.6822429906542056,0.7289719626168224,0.7173185646705895,0.025263253341122793,7
33.01804574330648,0.48656452027517294,0.1644128958384196,0.10396920293554994,linear,2,2,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 2}",0.8148148148148148,0.7476635514018691,0.7102803738317757,0.7575862466828198,0.043248947957440324,3
36.21012759208679,0.2819098376480268,0.10252261161804199,0.0047442473394617955,linear,2,3,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 3}",0.8240740740740741,0.794392523364486,0.8037383177570093,0.8074016383985231,0.01239122140128159,2
0.045094569524129234,0.0015530502832956736,0.0,0.0,linear,2,5,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 5}",,,,,,10
30.896027326583862,0.501119370328184,0.08554275830586751,0.003704414069490573,linear,3,1,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 1}",0.6666666666666666,0.7757009345794392,0.6542056074766355,0.6988577362409137,0.05457397027402249,8
35.02925992012024,0.4242160394885591,0.09060756365458171,0.002053331501967071,linear,3,2,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 2}",0.7222222222222222,0.7570093457943925,0.7476635514018691,0.7422983731394946,0.014699769724877857,5
39.014489571253456,0.1953812342109707,0.10413257280985515,0.005822435154467681,linear,3,3,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 3}",0.8148148148148148,0.822429906542056,0.8037383177570093,0.8136610130379601,0.007674299826152481,1
0.049872795740763344,0.001383789872392713,0.0,0.0,linear,3,5,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 5}",,,,,,10
32.43237090110779,0.5314808194552744,0.08410072326660156,0.0012146840644482635,linear,5,1,"{'activation': 'linear', 'kernel_size': 5, 'n_conv_layers': 1}",0.6851851851851852,0.6915887850467289,0.7102803738317757,0.6956847813545632,0.010646596095069849,9
38.32826256752014,0.30646388964066135,0.08572602272033691,0.002039245671309008,linear,5,2,"{'activation': 'linear', 'kernel_size': 5, 'n_conv_layers': 2}",0.6481481481481481,0.7663551401869159,0.7476635514018691,0.7207222799123111,0.051881900015444564,6
43.266878604888916,0.7501146251894054,0.08747116724650066,0.002754504069682009,linear,5,3,"{'activation': 'linear', 'kernel_size': 5, 'n_conv_layers': 3}",0.7777777777777778,0.8130841121495327,0.6448598130841121,0.7452405676704741,0.07242861418982662,4
0.04874149958292643,0.0029140118538647244,0.0,0.0,linear,5,5,"{'activation': 'linear', 'kernel_size': 5, 'n_conv_layers': 5}",,,,,,10
