mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_kernel_size,param_n_conv_layers,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
126.34788775444031,0.958735424345695,0.10716485977172852,0.006113074874067808,linear,2,1,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 1}",0.6889632107023411,0.7324414715719063,0.7281879194630873,0.7165308672457783,0.01957046996298748,6
165.63327153523764,0.34565105942222757,0.14222470919291177,0.0027220904945095474,linear,2,2,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 2}",0.7157190635451505,0.7290969899665551,0.738255033557047,0.7276903623562508,0.009253879799659814,3
181.3046987851461,0.7739889717986155,0.1556407610575358,0.0030662860755374406,linear,2,3,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 3}",0.7491638795986622,0.7290969899665551,0.761744966442953,0.7466686120027234,0.013444760126343222,1
141.255713224411,2.516681431684693,0.12046305338541667,0.008173956366175388,linear,3,1,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 1}",0.705685618729097,0.7157190635451505,0.7416107382550335,0.7210051401764269,0.015135179942813215,5
195.26757152875265,3.121654188418301,0.12251472473144531,0.0006470215505948078,linear,3,2,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 2}",0.7190635451505016,0.705685618729097,0.7516778523489933,0.7254756720761973,0.019315933269716385,4
220.60405071576437,1.1179377245306577,0.12265181541442871,0.004116700559350868,linear,3,3,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 3}",0.7023411371237458,0.7290969899665551,0.7550335570469798,0.7288238947124269,0.02151245709048563,2
