mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__kernel,param_svc__tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.271276092529297,0.18365085524583052,0.5526248931884765,0.0607674034048055,0.001,linear,0.001,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}",0.37333333333333335,0.4266666666666667,0.48,0.5466666666666666,0.3466666666666667,0.43466666666666665,0.07234485315333618,1
3.1888322830200195,0.11918386854616309,0.5895748138427734,0.021390960977009824,0.001,linear,1e-05,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 1e-05}",0.37333333333333335,0.4266666666666667,0.48,0.5466666666666666,0.3466666666666667,0.43466666666666665,0.07234485315333618,1
3.2070165157318113,0.11841322539749362,0.5753073692321777,0.10216798484740736,0.001,linear,1e-06,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 1e-06}",0.37333333333333335,0.4266666666666667,0.48,0.5466666666666666,0.3466666666666667,0.43466666666666665,0.07234485315333618,1
3.466527891159058,0.33630430882903734,1.4005042552947997,0.06436204014600753,0.001,rbf,0.001,"{'svc__C': 0.001, 'svc__kernel': 'rbf', 'svc__tol': 0.001}",0.36,0.3466666666666667,0.4266666666666667,0.4266666666666667,0.36,0.384,0.03517574922206113,19
3.0788121223449707,0.12025075138665488,1.3702059745788575,0.07818413507423312,0.001,rbf,1e-05,"{'svc__C': 0.001, 'svc__kernel': 'rbf', 'svc__tol': 1e-05}",0.36,0.3466666666666667,0.4266666666666667,0.4266666666666667,0.36,0.384,0.03517574922206113,19
3.1047324180603026,0.03779509413199543,1.2091192245483398,0.27440579240382607,0.001,rbf,1e-06,"{'svc__C': 0.001, 'svc__kernel': 'rbf', 'svc__tol': 1e-06}",0.36,0.3466666666666667,0.4266666666666667,0.4266666666666667,0.36,0.384,0.03517574922206113,19
3.4177900314331056,0.2711474447515147,0.7128832817077637,0.059937278995281486,0.001,poly,0.001,"{'svc__C': 0.001, 'svc__kernel': 'poly', 'svc__tol': 0.001}",0.3466666666666667,0.3466666666666667,0.3466666666666667,0.3333333333333333,0.3333333333333333,0.3413333333333333,0.006531972647421823,31
3.663784313201904,0.04212442779065054,0.718904972076416,0.08070855556886485,0.001,poly,1e-05,"{'svc__C': 0.001, 'svc__kernel': 'poly', 'svc__tol': 1e-05}",0.3466666666666667,0.3466666666666667,0.3466666666666667,0.3333333333333333,0.3333333333333333,0.3413333333333333,0.006531972647421823,31
3.5665055751800536,0.11694267711123152,0.7048743724822998,0.05366007209976224,0.001,poly,1e-06,"{'svc__C': 0.001, 'svc__kernel': 'poly', 'svc__tol': 1e-06}",0.3466666666666667,0.3466666666666667,0.3466666666666667,0.3333333333333333,0.3333333333333333,0.3413333333333333,0.006531972647421823,31
3.5967422485351563,0.0551125225952749,0.698787784576416,0.08553543766055693,0.001,sigmoid,0.001,"{'svc__C': 0.001, 'svc__kernel': 'sigmoid', 'svc__tol': 0.001}",0.28,0.4,0.38666666666666666,0.3333333333333333,0.30666666666666664,0.3413333333333333,0.04587906809089401,31
3.6315354347229003,0.09561889353134892,0.6957359313964844,0.05896765069105377,0.001,sigmoid,1e-05,"{'svc__C': 0.001, 'svc__kernel': 'sigmoid', 'svc__tol': 1e-05}",0.28,0.4,0.38666666666666666,0.3333333333333333,0.30666666666666664,0.3413333333333333,0.04587906809089401,31
3.6366943359375,0.06312949521338594,0.6711718082427979,0.14998458349647878,0.001,sigmoid,1e-06,"{'svc__C': 0.001, 'svc__kernel': 'sigmoid', 'svc__tol': 1e-06}",0.28,0.4,0.38666666666666666,0.3333333333333333,0.30666666666666664,0.3413333333333333,0.04587906809089401,31
3.3756664276123045,0.16045557073594713,0.5727363586425781,0.05450432554546295,0.01,linear,0.001,"{'svc__C': 0.01, 'svc__kernel': 'linear', 'svc__tol': 0.001}",0.4,0.44,0.4666666666666667,0.5333333333333333,0.30666666666666664,0.4293333333333333,0.07514134828589532,4
3.4333203792572022,0.13983661535507982,0.5752842426300049,0.08802993566881438,0.01,linear,1e-05,"{'svc__C': 0.01, 'svc__kernel': 'linear', 'svc__tol': 1e-05}",0.4,0.44,0.4666666666666667,0.5333333333333333,0.30666666666666664,0.4293333333333333,0.07514134828589532,4
3.3456507205963133,0.07919980052474956,0.5898227691650391,0.08352011689180655,0.01,linear,1e-06,"{'svc__C': 0.01, 'svc__kernel': 'linear', 'svc__tol': 1e-06}",0.4,0.44,0.4666666666666667,0.5333333333333333,0.30666666666666664,0.4293333333333333,0.07514134828589532,4
3.40315580368042,0.33047977368528103,1.3263421058654785,0.16235884686140578,0.01,rbf,0.001,"{'svc__C': 0.01, 'svc__kernel': 'rbf', 'svc__tol': 0.001}",0.36,0.3466666666666667,0.4266666666666667,0.4266666666666667,0.36,0.384,0.03517574922206113,19
3.2620258808135985,0.25956213830944913,1.1440704345703125,0.13375895438610222,0.01,rbf,1e-05,"{'svc__C': 0.01, 'svc__kernel': 'rbf', 'svc__tol': 1e-05}",0.36,0.3466666666666667,0.4266666666666667,0.4266666666666667,0.36,0.384,0.03517574922206113,19
3.197233724594116,0.19277467846234153,1.2462185382843018,0.1600504167675225,0.01,rbf,1e-06,"{'svc__C': 0.01, 'svc__kernel': 'rbf', 'svc__tol': 1e-06}",0.36,0.3466666666666667,0.4266666666666667,0.4266666666666667,0.36,0.384,0.03517574922206113,19
